Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2015,1142,U,B,8791,32810,38601,34004,30780,39767,61977,63072,57364,53693,47729,55803,60080,51363,37499,20916,26761,12319,9705
2015,1142,U,M,4512,16849,19878,17642,15599,19132,30685,31370,28135,25730,22183,24880,25513,20360,13833,6535,7578,3111,2046
2015,1142,U,F,4279,15961,18723,16362,15181,20635,31292,31702,29229,27963,25546,30923,34568,31003,23666,14381,19184,9209,7659
2015,1142,R,B,4486,18987,21791,19941,18401,20586,28534,26814,25945,27036,28155,34409,36034,28313,21375,13500,19685,11110,8849
2015,1142,R,M,2296,9697,10988,10317,9435,10364,14760,13960,13110,13316,14052,16952,17372,12645,8662,4428,5658,2746,1515
2015,1142,R,F,2190,9290,10803,9625,8966,10222,13774,12854,12836,13721,14103,17458,18663,15669,12713,9072,14028,8364,7334
2015,1146,T,B,93908,345803,359461,322883,301084,407870,632424,659475,604341,540728,468041,530977,532243,455189,348004,188864,260584,125284,97697
2015,1146,T,M,48227,178515,184375,166185,158047,220639,317787,323037,296088,264729,223546,242573,231630,184235,131356,62125,75305,30982,21118
2015,1146,T,F,45681,167288,175086,156698,143037,187232,314637,336438,308254,275999,244495,288404,300614,270954,216648,126740,185280,94303,76579
2015,1146,U,B,80159,288740,294149,263879,243735,328939,518076,542718,499193,447250,382958,429346,427115,367676,283968,152845,209118,99853,76491
2015,1146,U,M,41110,149141,150912,135680,126486,174898,258830,263800,242807,217393,181393,193895,183239,146159,105543,49950,60118,24611,17011
2015,1146,U,F,39049,139599,143238,128199,117249,154042,259246,278918,256387,229857,201565,235451,243876,221517,178425,102895,149000,75242,59480
2015,1146,R,B,13750,57063,65312,59004,57350,78931,114348,116757,105148,93478,85083,101632,105129,87513,64036,36019,51467,25431,21206
2015,1146,R,M,7118,29374,33464,30505,31561,45741,58957,59238,53281,47336,42153,48679,48391,38076,25813,12175,15187,6371,4107
2015,1146,R,F,6632,27689,31849,28499,25789,33190,55391,57520,51867,46142,42930,52953,56738,49437,38223,23845,36280,19061,17099
2015,1154,T,B,8384,33025,38145,34876,34068,45934,59025,55360,53480,51917,48521,57954,64832,54510,40810,21457,31397,15806,12980
2015,1154,T,M,4310,16998,19603,17874,17019,22671,29554,27677,26061,24817,22695,26848,28531,22141,15565,6799,8758,3734,2433
2015,1154,T,F,4074,16027,18542,17002,17049,23263,29471,27683,27419,27101,25826,31107,36301,32369,25245,14658,22639,12073,10547
2015,1154,U,B,5188,19442,25071,22604,22895,33963,41663,39245,37848,35195,30741,36067,41729,36948,27943,14013,19264,8926,7915
2015,1154,U,M,2658,9934,12830,11545,11323,16457,20519,19490,18438,16654,14073,15929,17274,14317,10336,4377,5305,2120,1511
2015,1154,U,F,2530,9508,12242,11059,11572,17507,21145,19756,19410,18541,16669,20138,24455,22631,17608,9637,13960,6806,6405
2015,1154,R,B,3196,13583,13074,12272,11173,11971,17362,16115,15632,16723,17780,21888,23103,17562,12867,7444,12133,6880,5065
2015,1154,R,M,1652,7064,6774,6329,5696,6215,9035,8187,7623,8163,8622,10919,11257,7824,5230,2423,3454,1614,923
2015,1154,R,F,1544,6519,6301,5943,5477,5757,8327,7928,8010,8560,9158,10969,11846,9739,7638,5021,8680,5267,4143
2015,1161,T,B,12420,47792,52791,47450,49025,66396,88798,83616,78705,77896,73030,82786,92572,80704,64062,36050,51243,26684,20755
2015,1161,T,M,6346,24472,27130,24399,25000,34524,45964,43175,39049,37856,34930,38398,40818,33125,24087,11193,14738,6722,4048
2015,1161,T,F,6074,23320,25662,23051,24025,31872,42834,40441,39656,40040,38100,44388,51754,47579,39975,24858,36506,19962,16708
2015,1161,U,B,8313,32388,38162,33882,36290,51961,66483,63307,59048,57187,51807,57759,64647,57687,45689,24064,32188,15169,12152
2015,1161,U,M,4276,16612,19555,17381,18327,26876,33683,32339,28966,27467,24276,25802,27276,22727,16691,7423,9269,3828,2513
2015,1161,U,F,4037,15776,18607,16501,17964,25086,32800,30968,30083,29721,27532,31957,37372,34960,28998,16641,22919,11342,9640
2015,1161,R,B,4107,15405,14630,13568,12735,14435,22315,20309,19657,20709,21223,25027,27925,23017,18374,11986,19055,11515,8603
2015,1161,R,M,2070,7860,7575,7018,6673,7649,12281,10836,10084,10389,10655,12596,13543,10398,7397,3770,5469,2894,1535
2015,1161,R,F,2037,7545,7055,6550,6062,6787,10034,9473,9574,10320,10568,12431,14383,12619,10977,8217,13587,8621,7068
2015,1166,T,B,10181,40315,46203,40788,40440,56085,80444,76574,71076,66266,62025,75031,81841,68411,49952,25545,35252,18361,16924
2015,1166,T,M,5305,20737,23579,21023,21136,29687,42478,39861,35882,32526,29543,34562,35431,27626,18751,8141,9630,4303,2983
2015,1166,T,F,4877,19578,22625,19765,19304,26399,37966,36713,35195,33740,32483,40470,46411,40785,31201,17404,25622,14059,13942
2015,1166,U,B,7619,28663,33474,29428,30930,43173,58012,55874,52722,48557,43836,52374,57863,49378,36384,17631,23575,11717,10991
2015,1166,U,M,3960,14732,17140,15157,16159,22586,29824,28211,25902,23105,20179,23079,23768,19150,13263,5520,6378,2704,2030
2015,1166,U,F,3659,13931,16334,14271,14772,20587,28188,27664,26820,25452,23658,29296,34096,30228,23121,12111,17198,9013,8961
2015,1166,R,B,2563,11652,12730,11360,9510,12912,22432,20700,18354,17709,18189,22657,23978,19033,13569,7915,11677,6645,5934
2015,1166,R,M,1345,6005,6439,5866,4978,7101,12654,11651,9980,9421,9364,11483,11663,8476,5488,2622,3252,1599,953
2015,1166,R,F,1218,5648,6291,5494,4532,5812,9778,9050,8375,8288,8825,11174,12315,10557,8081,5293,8425,5046,4981
2015,1168,T,B,10384,40592,48034,45900,46836,61793,80696,74931,73044,72730,70318,84264,89371,75768,57732,33484,45530,24264,20691
2015,1168,T,M,5410,20887,24872,23532,24439,32402,42345,38877,36700,35737,34031,40354,40849,31580,22500,10748,12713,6266,4055
2015,1168,T,F,4974,19705,23163,22369,22398,29391,38351,36054,36344,36994,36287,43910,48522,44188,35232,22736,32817,17999,16636
2015,1168,U,B,6538,24668,28911,26959,28401,39480,50130,47815,45665,44016,40732,48166,52412,46140,35923,19197,25100,12216,11206
2015,1168,U,M,3433,12711,14965,13825,15006,20722,25134,24058,22274,21158,18750,21886,22519,18283,13613,6175,7152,3111,2369
2015,1168,U,F,3105,11958,13946,13134,13396,18759,24996,23757,23392,22858,21982,26280,29893,27857,22311,13022,17948,9106,8837
2015,1168,R,B,3846,15924,19123,18942,18435,22313,30567,27116,27379,28714,29586,36098,36960,29628,21809,14287,20431,12048,9485
2015,1168,R,M,1977,8177,9907,9707,9433,11681,17211,14819,14426,14579,15282,18468,18330,13297,8888,4573,5562,3155,1686
2015,1168,R,F,1869,7747,9217,9235,9002,10632,13356,12298,12953,14136,14305,17631,18630,16331,12922,9714,14869,8893,7799
2015,1128,T,B,14705,58858,66094,59261,54528,69448,103344,101486,93904,88464,81757,99309,107348,94369,71557,36727,55046,29321,24387
2015,1128,T,M,7557,30134,33726,30578,28105,35734,54401,52406,46676,43022,38482,45214,46664,38098,27186,11453,14892,6740,4293
2015,1128,T,F,7148,28724,32368,28683,26423,33714,48943,49081,47228,45442,43275,54095,60684,56271,44371,25274,40155,22581,20094
2015,1128,U,B,11339,43971,50666,45751,42437,55350,79162,78833,73114,68570,61122,72733,78704,69997,53063,26298,38871,19702,16908
2015,1128,U,M,5850,22562,25876,23629,21614,27961,40560,39443,35386,32667,28182,31850,32875,27228,19425,7882,9901,4382,3035
2015,1128,U,F,5489,21409,24790,22122,20823,27389,38602,39390,37728,35903,32940,40883,45829,42769,33639,18416,28971,15320,13874
2015,1128,R,B,3367,14888,15428,13510,12091,14098,24182,22654,20791,19894,20636,26577,28644,24373,18494,10429,16175,9619,7479
2015,1128,R,M,1707,7572,7850,6950,6492,7773,13841,12963,11291,10356,10301,13365,13789,10871,7762,3572,4991,2358,1258
2015,1128,R,F,1660,7316,7578,6561,5600,6325,10341,9691,9500,9539,10335,13212,14855,13502,10732,6858,11184,7261,6221
2015,1170,T,B,15412,59219,67364,62138,59432,79690,119572,118184,112761,110293,95361,109147,123816,111189,87558,47935,67871,33917,29155
2015,1170,T,M,7882,30201,34677,32016,30465,40788,62322,60732,56137,54023,46065,50180,53119,44407,31946,14567,18162,7982,5506
2015,1170,T,F,7531,29018,32687,30122,28967,38902,57250,57452,56624,56271,49296,58967,70697,66782,55613,33368,49709,25935,23649
2015,1170,U,B,11524,42054,50045,45823,44305,60703,89167,88418,85678,84607,71290,80531,91072,83784,66881,36404,50480,24308,21216
2015,1170,U,M,5884,21444,25892,23569,22664,31305,46362,44985,42070,40956,33921,36156,37852,32450,23779,10797,13263,5626,4055
2015,1170,U,F,5641,20610,24153,22254,21641,29398,42806,43433,43608,43651,37369,44375,53220,51335,43102,25608,37217,18682,17161
2015,1170,R,B,3888,17166,17319,16315,15128,18988,30405,29766,27083,25687,24071,28616,32744,27405,20678,11531,17391,9609,7939
2015,1170,R,M,1998,8757,8785,8447,7801,9484,15960,15747,14067,13067,12144,14024,15267,11958,8167,3770,4899,2356,1451
2015,1170,R,F,1890,8409,8534,7868,7327,9504,14445,14019,13016,12620,11927,14592,17477,15447,12511,7761,12493,7253,6488
2015,1178,T,B,15226,59040,64970,57914,53518,67734,101613,100591,94418,89451,80798,92038,96286,90214,69546,37703,52999,25823,21892
